date,000300.SH,399905.SZ,000906.SH,000016.SH
2010/6/4,2744.391,4089.035,2975.59,1894.45
2010/6/7,2695.715,4072.568,2933.527,1853.363
2010/6/8,2699.336,4109.317,2943.446,1845.13
2010/6/9,2782.133,4211.881,3029.242,1906.896
2010/6/10,2750.023,4223.566,3005.808,1873.824
2010/6/11,2758.866,4197.995,3007.988,1883.196
2010/6/17,2742.733,4145.243,2985.006,1882.133
2010/6/18,2696.166,3972.286,2914.714,1870.871
2010/6/21,2780.663,4087.017,3004.194,1933.616
2010/6/22,2783.72,4119.722,3012.891,1930.002
2010/6/23,2758.495,4094.568,2987.913,1913.626
2010/6/24,2757.498,4095.295,2987.254,1914.646
2010/6/25,2736.287,4028.433,2957.527,1915.91
2010/6/28,2716.777,3961.382,2929.124,1910.469
2010/6/29,2592.019,3736.982,2786.505,1833.037
2010/6/30,2563.07,3664.464,2749.508,1819.109
2010/7/1,2526.071,3606.593,2708.872,1799.881
2010/7/2,2534.105,3585.576,2711.308,1812.58
2010/7/5,2512.651,3563.882,2690.002,1797.66
2010/7/6,2562.902,3665.334,2749.54,1826.395
2010/7/7,2580.477,3718.662,2773.758,1829.557
2010/7/8,2575.921,3698.342,2766.245,1828.131
2010/7/9,2647.104,3807.604,2844.03,1870.303
2010/7/12,2676.218,3849.52,2875.317,1887.671
2010/7/13,2634.593,3788.751,2830.425,1859.152
2010/7/14,2653.609,3824.046,2852.367,1873.038
2010/7/15,2608.519,3735.395,2799.396,1840.668
2010/7/16,2616.128,3757.432,2809.681,1839.219
2010/7/19,2682.472,3842.313,2878.953,1878.528
2010/7/20,2741.503,3951.358,2946.969,1909.965
2010/7/21,2747.335,3959.427,2953.174,1914.33
2010/7/22,2781.286,4017.864,2991.478,1933.877
2010/7/23,2793.076,4015.467,3000.461,1945.451
2010/7/26,2811.055,4071.094,3025.445,1951.87
2010/7/27,2795.724,4068.864,3012.748,1936.074
2010/7/28,2863.724,4162.321,3084.978,1983.628
2010/7/29,2877.976,4194.04,3102.418,1993.87
2010/7/30,2868.846,4191.13,3094.547,1986.76
2010/8/2,2917.275,4267.895,3147.927,2015.655
2010/8/3,2865.971,4193.641,3092.719,1978.414
2010/8/4,2876.434,4248.014,3111.419,1981.525
2010/8/5,2850.829,4267.955,3094.676,1954.336
2010/8/6,2897.659,4356.012,3148.916,1979.228
2010/8/9,2918.241,4413.568,3176.33,1988.017
2010/8/10,2832.638,4246.46,3076.018,1934.587
2010/8/11,2850.211,4297.904,3099.861,1939.844
2010/8/12,2816.386,4241.592,3062.067,1914.451
2010/8/13,2855.547,4323.052,3108.908,1930.671
